KR733211.1 |Influenza B virus (B/Taiwan/70303/2004) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2004-02-19
KR733244.1 |Influenza B virus (B/Taiwan/70303/2004) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2004-02-19
KR733227.1 |Influenza B virus (B/Taiwan/70231/2009) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2009-02-23
KR733260.1 |Influenza B virus (B/Taiwan/70231/2009) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2009-02-23
KR733223.1 |Influenza B virus (B/Taiwan/70215/2008) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2008-01-26
KR733256.1 |Influenza B virus (B/Taiwan/70215/2008) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2008-01-26
KR733220.1 |Influenza B virus (B/Taiwan/70167/2007) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2007-01-19
KR733253.1 |Influenza B virus (B/Taiwan/70167/2007) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2007-01-19
KR733226.1 |Influenza B virus (B/Taiwan/70094/2009) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2009-01-21
KR733259.1 |Influenza B virus (B/Taiwan/70094/2009) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2009-01-21
KR733231.1 |Influenza B virus (B/Taiwan/03663/2010) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2010-12-24
KR733264.1 |Influenza B virus (B/Taiwan/03663/2010) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2010-12-24
KR733240.1 |Influenza B virus (B/Taiwan/03384/2013) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2013-12-30
KR733273.1 |Influenza B virus (B/Taiwan/03384/2013) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2013-12-30
KR733234.1 |Influenza B virus (B/Taiwan/02986/2011) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2011-10-20
KR733267.1 |Influenza B virus (B/Taiwan/02986/2011) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2011-10-20
KR733219.1 |Influenza B virus (B/Taiwan/02539/2006) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2006-10-13
KR733252.1 |Influenza B virus (B/Taiwan/02539/2006) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2006-10-13
KR733230.1 |Influenza B virus (B/Taiwan/02293/2010) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2010-07-29
KR733263.1 |Influenza B virus (B/Taiwan/02293/2010) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2010-07-29
KR733239.1 |Influenza B virus (B/Taiwan/01880/2013) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2013-07-11
KR733272.1 |Influenza B virus (B/Taiwan/01880/2013) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2013-07-11
KR733228.1 |Influenza B virus (B/Taiwan/01500/2009) NB gene, complete sequence; and neuraminidase (NA) gene, complete cds|6||Taiwan|2016-01-01|2009-05-16
KR733261.1 |Influenza B virus (B/Taiwan/01500/2009) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2009-05-16
KR733218.1 |Influenza B virus (B/Taiwan/01403/2006) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2006-06-17
KR733251.1 |Influenza B virus (B/Taiwan/01403/2006) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2006-06-17
KR733212.1 |Influenza B virus (B/Taiwan/01319/2004) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2004-05-19
KR733245.1 |Influenza B virus (B/Taiwan/01319/2004) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2004-05-19
KR733225.1 |Influenza B virus (B/Taiwan/01261/2008) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2008-06-20
KR733258.1 |Influenza B virus (B/Taiwan/01261/2008) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2008-06-20
KR733237.1 |Influenza B virus (B/Taiwan/01185/2012) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2012-04-03
KR733270.1 |Influenza B virus (B/Taiwan/01185/2012) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2012-04-03
KR733243.1 |Influenza B virus (B/Taiwan/01061/2014) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2014-03-20
KR733276.1 |Influenza B virus (B/Taiwan/01061/2014) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2014-03-20
KR733233.1 |Influenza B virus (B/Taiwan/00938/2011) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2011-03-22
KR733266.1 |Influenza B virus (B/Taiwan/00938/2011) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2011-03-22
KR733214.1 |Influenza B virus (B/Taiwan/00748/2005) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2005-03-19
KR733247.1 |Influenza B virus (B/Taiwan/00748/2005) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2005-03-19
KR733236.1 |Influenza B virus (B/Taiwan/00675/2012) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2012-02-18
KR733269.1 |Influenza B virus (B/Taiwan/00675/2012) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2012-02-18
KR733242.1 |Influenza B virus (B/Taiwan/00642/2014) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2014-02-18
KR733275.1 |Influenza B virus (B/Taiwan/00642/2014) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2014-02-18
KR733224.1 |Influenza B virus (B/Taiwan/00507/2008) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2008-03-19
KR733257.1 |Influenza B virus (B/Taiwan/00507/2008) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2008-03-19
KR733238.1 |Influenza B virus (B/Taiwan/00482/2013) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2013-02-21
KR733271.1 |Influenza B virus (B/Taiwan/00482/2013) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2013-02-21
KR733235.1 |Influenza B virus (B/Taiwan/00335/2012) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2012-01-19
KR733268.1 |Influenza B virus (B/Taiwan/00335/2012) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2012-01-19
KR733241.1 |Influenza B virus (B/Taiwan/00252/2014) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2014-01-18
KR733274.1 |Influenza B virus (B/Taiwan/00252/2014) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2014-01-18
KR733232.1 |Influenza B virus (B/Taiwan/00202/2011) NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Taiwan|2016-01-01|2011-01-19
KR733265.1 |Influenza B virus (B/Taiwan/00202/2011) hemagglutinin (HA) gene, complete cds|4||Taiwan|2016-01-01|2011-01-19
KP067334.1 |Influenza B virus (B/South Australia/5/1999) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Australia|2014-11-23|1999
KP067332.1 |Influenza B virus (B/Sichuan/15/1991) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||China|2014-11-23|1991
KP067336.1 |Influenza B virus (B/Shanghai/4/1994) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||China|2014-11-23|1994
KC244111.1 |Influenza B virus (B/Shanghai-Pudongxin/1125/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||China|2013-01-07|2011-02
JN632582.1 |Influenza B virus (B/Ontario/13040/2011) segment 6 neuraminidase (NA) gene, complete cds|6||Canada|2011-09-14|2011-02-02
KC479006.1 |Influenza B virus (B/Ontario/1126626/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2011-12-25
KC478992.1 |Influenza B virus (B/Ontario/1060350/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2011-12-06
KC478993.1 |Influenza B virus (B/Ontario/1060343/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2011-12-06
JQ943660.1 |Influenza B virus (B/Ontario/0352600/2011) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2012-05-16|2011-04-28
